Day,Country,toilet_paper,coronavirus
1/17/20,Italy,<1,<1
1/18/20,Italy,<1,<1
1/19/20,Italy,<1,<1
1/20/20,Italy,<1,<1
1/21/20,Italy,0,<1
1/22/20,Italy,<1,1
1/23/20,Italy,<1,2
1/24/20,Italy,<1,2
1/25/20,Italy,0,3
1/26/20,Italy,0,4
1/27/20,Italy,0,4
1/28/20,Italy,<1,8
1/29/20,Italy,0,7
1/30/20,Italy,<1,15
1/31/20,Italy,0,22
2/1/20,Italy,<1,12
2/2/20,Italy,<1,8
2/3/20,Italy,<1,6
2/4/20,Italy,<1,5
2/5/20,Italy,0,4
2/6/20,Italy,0,4
2/7/20,Italy,<1,5
2/8/20,Italy,<1,4
2/9/20,Italy,0,4
2/10/20,Italy,<1,5
2/11/20,Italy,<1,5
2/12/20,Italy,<1,4
2/13/20,Italy,0,4
2/14/20,Italy,0,4
2/15/20,Italy,0,3
2/16/20,Italy,0,3
2/17/20,Italy,<1,3
2/18/20,Italy,0,3
2/19/20,Italy,<1,3
2/20/20,Italy,<1,2
2/21/20,Italy,<1,35
2/22/20,Italy,0,74
2/23/20,Italy,0,100
2/24/20,Italy,<1,90
2/25/20,Italy,0,74
2/26/20,Italy,0,57
2/27/20,Italy,<1,47
2/28/20,Italy,0,41
2/29/20,Italy,<1,43
3/1/20,Italy,<1,40
3/2/20,Italy,<1,40
3/3/20,Italy,<1,42
3/4/20,Italy,<1,61
3/5/20,Italy,<1,54
3/6/20,Italy,<1,56
3/7/20,Italy,<1,70
3/8/20,Italy,<1,77
3/9/20,Italy,<1,81
3/10/20,Italy,0,79
3/11/20,Italy,<1,81
3/12/20,Italy,<1,74
3/13/20,Italy,<1,66
3/14/20,Italy,<1,64
3/15/20,Italy,<1,67
3/16/20,Italy,<1,58
3/17/20,Italy,<1,57
3/18/20,Italy,<1,56
3/19/20,Italy,<1,57
3/20/20,Italy,<1,57
3/21/20,Italy,<1,61
3/22/20,Italy,<1,59
3/23/20,Italy,<1,49
3/24/20,Italy,0,46
3/25/20,Italy,<1,44
3/26/20,Italy,<1,43
3/27/20,Italy,<1,45
3/28/20,Italy,<1,43
3/29/20,Italy,<1,42
3/30/20,Italy,<1,37
3/31/20,Italy,<1,33
4/1/20,Italy,<1,31
4/2/20,Italy,<1,31
4/3/20,Italy,<1,36
4/4/20,Italy,<1,46
4/5/20,Italy,<1,44
4/6/20,Italy,<1,30
4/7/20,Italy,<1,30
4/8/20,Italy,<1,29
4/9/20,Italy,0,29
4/10/20,Italy,<1,28
4/11/20,Italy,<1,27
4/12/20,Italy,<1,30
4/13/20,Italy,0,31
4/14/20,Italy,<1,28
4/15/20,Italy,<1,26
1/17/20,United States,<1,<1
1/18/20,United States,<1,<1
1/19/20,United States,<1,<1
1/20/20,United States,<1,<1
1/21/20,United States,<1,3
1/22/20,United States,<1,3
1/23/20,United States,<1,4
1/24/20,United States,<1,8
1/25/20,United States,<1,9
1/26/20,United States,<1,10
1/27/20,United States,<1,11
1/28/20,United States,<1,12
1/29/20,United States,<1,11
1/30/20,United States,<1,12
1/31/20,United States,<1,11
2/1/20,United States,<1,9
2/2/20,United States,<1,8
2/3/20,United States,<1,7
2/4/20,United States,<1,6
2/5/20,United States,<1,6
2/6/20,United States,<1,6
2/7/20,United States,<1,6
2/8/20,United States,<1,6
2/9/20,United States,<1,5
2/10/20,United States,<1,5
2/11/20,United States,<1,5
2/12/20,United States,<1,4
2/13/20,United States,<1,5
2/14/20,United States,<1,4
2/15/20,United States,<1,4
2/16/20,United States,<1,4
2/17/20,United States,<1,4
2/18/20,United States,<1,4
2/19/20,United States,<1,3
2/20/20,United States,<1,3
2/21/20,United States,<1,3
2/22/20,United States,<1,4
2/23/20,United States,<1,5
2/24/20,United States,<1,7
2/25/20,United States,<1,11
2/26/20,United States,<1,16
2/27/20,United States,<1,19
2/28/20,United States,<1,18
2/29/20,United States,<1,20
3/1/20,United States,<1,17
3/2/20,United States,<1,26
3/3/20,United States,<1,25
3/4/20,United States,<1,24
3/5/20,United States,<1,29
3/6/20,United States,<1,30
3/7/20,United States,<1,31
3/8/20,United States,1,30
3/9/20,United States,1,38
3/10/20,United States,1,45
3/11/20,United States,2,56
3/12/20,United States,3,97
3/13/20,United States,5,87
3/14/20,United States,6,79
3/15/20,United States,4,100
3/16/20,United States,3,97
3/17/20,United States,3,87
3/18/20,United States,3,80
3/19/20,United States,2,78
3/20/20,United States,2,75
3/21/20,United States,2,75
3/22/20,United States,2,76
3/23/20,United States,2,72
3/24/20,United States,2,64
3/25/20,United States,1,60
3/26/20,United States,1,61
3/27/20,United States,1,59
3/28/20,United States,1,56
3/29/20,United States,1,56
3/30/20,United States,1,51
3/31/20,United States,1,48
4/1/20,United States,1,47
4/2/20,United States,1,45
4/3/20,United States,1,56
4/4/20,United States,1,60
4/5/20,United States,1,60
4/6/20,United States,1,59
4/7/20,United States,1,55
4/8/20,United States,1,52
4/9/20,United States,1,48
4/10/20,United States,1,46
4/11/20,United States,1,36
4/12/20,United States,1,30
4/13/20,United States,1,41
4/14/20,United States,1,45
4/15/20,United States,1,42
1/17/20,China,0,0
1/18/20,China,0,6
1/19/20,China,0,1
1/20/20,China,0,2
1/21/20,China,0,11
1/22/20,China,0,32
1/23/20,China,0,54
1/24/20,China,0,68
1/25/20,China,0,100
1/26/20,China,0,75
1/27/20,China,0,78
1/28/20,China,0,67
1/29/20,China,0,75
1/30/20,China,0,63
1/31/20,China,0,58
2/1/20,China,0,44
2/2/20,China,0,39
2/3/20,China,0,43
2/4/20,China,0,34
2/5/20,China,0,32
2/6/20,China,0,26
2/7/20,China,0,35
2/8/20,China,0,39
2/9/20,China,0,25
2/10/20,China,0,32
2/11/20,China,0,30
2/12/20,China,0,23
2/13/20,China,0,17
2/14/20,China,0,20
2/15/20,China,0,13
2/16/20,China,0,9
2/17/20,China,0,17
2/18/20,China,2,16
2/19/20,China,2,20
2/20/20,China,0,11
2/21/20,China,0,15
2/22/20,China,0,18
2/23/20,China,0,24
2/24/20,China,0,15
2/25/20,China,0,16
2/26/20,China,0,24
2/27/20,China,0,22
2/28/20,China,0,28
2/29/20,China,0,36
3/1/20,China,0,25
3/2/20,China,0,27
3/3/20,China,0,18
3/4/20,China,0,21
3/5/20,China,0,28
3/6/20,China,0,28
3/7/20,China,0,32
3/8/20,China,0,18
3/9/20,China,0,21
3/10/20,China,0,21
3/11/20,China,0,26
3/12/20,China,2,29
3/13/20,China,1,34
3/14/20,China,0,47
3/15/20,China,0,45
3/16/20,China,0,41
3/17/20,China,0,33
3/18/20,China,0,32
3/19/20,China,0,36
3/20/20,China,0,29
3/21/20,China,2,48
3/22/20,China,0,43
3/23/20,China,0,41
3/24/20,China,0,28
3/25/20,China,0,34
3/26/20,China,0,36
3/27/20,China,1,31
3/28/20,China,0,39
3/29/20,China,2,58
3/30/20,China,0,39
3/31/20,China,0,29
4/1/20,China,0,35
4/2/20,China,0,29
4/3/20,China,0,35
4/4/20,China,0,41
4/5/20,China,0,57
4/6/20,China,0,44
4/7/20,China,0,27
4/8/20,China,0,32
4/9/20,China,0,18
4/10/20,China,0,24
4/11/20,China,2,26
4/12/20,China,0,31
4/13/20,China,0,23
4/14/20,China,0,24
4/15/20,China,0,19